smiles,He_Permeability_Barrer
*CN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(Cc3ccc(-c5cc(C)c(-c6ccc(*)cc6C)cc5C)c(C)c3)C4=O)C(F)(F)F)cc2C1=O,71.00000005
*COC*,1.699999999
*COc1c(Br)cc(C(c2cc(Br)c(OC(=O)c3cccc(C(*)=O)c3)c(Br)c2)(C(F)(F)F)C(F)(F)F)cc1Br,66.29999994
*Cc1cc(C)c(-n2c(=O)c3cc4c(=O)n(-c5c(C)cc(*)cc5C)c(=O)c4cc3c2=O)c(C)c1,87.00000008
*Cc1cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4c(C)cc(*)cc4C)C5=O)cc3C2=O)c(C)c1,31.8
*Cc1cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4c(C)cc(*)cc4C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1,74.40000008
*Cc1cc(C)c(Oc2ccc(C(C)(C)c3ccc(Oc4c(C)cc(*)cc4C)cc3)cc2)c(C)c1,29.00000001
*Cc1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(*)cc4C)cc3)cc2)c(C)c1,30.80000004
*Cc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(c4ccc(*)cc4C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1,35.09999996
*N=P(*)(OCC(C)(C)C)OC(C)(C)C,60.19999996
*N=P(*)(OCC(C)C)OC(C)C,67.09999997
*N=P(*)(OCC(C)CC)OC(C)CC,105.9999999
*N=P(*)(OCC(F)(F)F)OCC(F)(F)F,268.0
*N=P(*)(OCCC)OCCCC,84.69999994
*N=P(*)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1,5.800000006
*N=P(*)(Oc1ccccc1)Oc1ccccc1,10.30000001
*NC(=O)c1cc(C(c2ccc(C(=O)O)c(C(=O)Nc3cc(Oc4ccc(N)c(*)c4)ccc3N)c2)(C(F)(F)F)C(F)(F)F)ccc1C(=O)O,18.89999999
*NC(=O)c1ccc(Oc2cc(C(C)(C)C)c(Oc3ccc(C(=O)Nc4c(C)cc(Cc5cc(C)c(*)c(C(C)C)c5)cc4C(C)C)cc3)cc2C(C)(C)C)cc1,49.0
*Nc1ccc(C(c2ccc(NC(=O)c3cc(C(*)=O)cc(-c4ccccc4)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,47.99999996
*Nc1ccc(C(c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,34.99999997
*Nc1ccc(C2(c3ccc(NC(=O)c4cccc(C(*)=O)c4)cc3)c3ccccc3-c3ccccc32)cc1,15.8
*Nc1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)Nc5cccc(N6C(=O)c7ccc(C(=O)Nc8ccc(Oc9ccc(N%10C(=O)c%11ccc(C(*)=O)cc%11C%10=O)cc9)cc8)cc7C6=O)c5)cc4C3=O)cc2)cc1,5.529999996
*Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3cc(C(*)=O)cc(-c4ccccc4)c3)cc2)cc1,10.0
*Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,5.200000004
*Nc1cccc(NC(=O)c2ccc(C(c3ccc(C(*)=O)cc3)(C(F)(F)F)C(F)(F)F)cc2)c1,31.00000001
*OC(=O)Oc1ccc(C(=O)Oc2ccc3c(c2)C2(Cc4cc(*)ccc4C2(C)C)CC3(C)C)cc1,39.09999996
*OC(=O)Oc1ccc2c(c1)C1(CC(C)(C)c3ccc(*)cc31)CC2(C)C,49.0
*OC(=O)c1cc(C(=O)COc2c(Br)cc3c(c2Br)C(=C)OC32c3cc(Br)c(*)c(Br)c32)cc(C(C)(C)C)c1,61.30000007
